CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2011-2995,3.6,6.0,"[[datetime.datetime(2011, 6, 5, 19, 42), datetime.datetime(2011, 9, 19, 12, 25), u'Networking', [u'(firefox7 fixed']], [datetime.datetime(2011, 6, 19, 10, 19), datetime.datetime(2011, 8, 29, 11, 42), u'Graphics', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 5, 5, 11, 41), datetime.datetime(2011, 8, 1, 14, 33), u'Plug-ins', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 5, 28, 8, 1), datetime.datetime(2011, 8, 24, 13, 42), u'XSLT', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-2993,4.0,5.0,"[[datetime.datetime(2011, 5, 15, 19, 16), datetime.datetime(2011, 5, 19, 7, 30), u'Security', [u'(firefox5- wontfix', u' firefox6+ fixed']]]"
CVE-2011-2992,4.0,5.0,"[[datetime.datetime(2011, 7, 20, 7, 10), datetime.datetime(2011, 7, 21, 15, 24), u'Audio/Video', [u'(firefox5 wontfix', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-2991,4.0,5.0,"[[datetime.datetime(2011, 5, 9, 0, 30), datetime.datetime(2011, 6, 23, 19, 23), u'JavaScript Engine', [u'(firefox5- affected', u' firefox6+ fixed', u' firefox7+ fixed']]]"
CVE-2011-2990,4.0,5.0,"[[datetime.datetime(2011, 6, 17, 5, 45), datetime.datetime(2011, 7, 18, 15, 26), u'DOM: Core & HTML', [u'(firefox5- affected', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 8, 16, 20, 5), datetime.datetime(2011, 12, 5, 5, 14), u'Add-ons Manager', []]]"
CVE-2011-2989,4.0,5.0,"[[datetime.datetime(2011, 7, 25, 13, 38), datetime.datetime(2011, 7, 28, 13, 17), u'Canvas: WebGL', [u'(firefox6 fixed', u' firefox7 fixed']]]"
CVE-2011-2988,4.0,5.0,"[[datetime.datetime(2011, 6, 21, 9, 56), datetime.datetime(2011, 6, 29, 17, 5), u'Canvas: WebGL', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8 fixed']]]"
CVE-2011-2987,4.0,5.0,"[[datetime.datetime(2011, 6, 21, 9, 47), datetime.datetime(2011, 6, 23, 8, 37), u'Canvas: WebGL', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed']]]"
CVE-2011-2986,4.0,5.0,"[[datetime.datetime(2011, 5, 9, 14, 27), datetime.datetime(2011, 10, 5, 8, 28), u'Canvas: 2D', [u'(firefox5 affected', u' firefox6+ fixed', u' firefox7 affected', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ verified']]]"
CVE-2011-2985,4.0,5.0,"[[datetime.datetime(2011, 7, 6, 3, 49), datetime.datetime(2011, 7, 6, 3, 57), u'SVG', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 4, 6, 22, 29), datetime.datetime(2011, 4, 11, 15, 26), u'XPConnect', [u'(firefox5- affected', u' firefox6 fixed']], [datetime.datetime(2011, 6, 29, 10, 1), datetime.datetime(2011, 7, 8, 3, 17), u'Places', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 27, 10, 30), datetime.datetime(2011, 7, 25, 16, 5), u'Layout', [u'(firefox5- affected', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 6, 26, 11, 47), datetime.datetime(2011, 7, 4, 14, 1), u'XSLT', [u'(firefox5 affected', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 24, 15, 35), datetime.datetime(2011, 6, 30, 13, 58), u'Printing: Output', [u'(firefox5 unaffected', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 20, 5, 50), datetime.datetime(2011, 6, 20, 8, 12), u'Networking: WebSockets', [u'(firefox6+ fixed']], [datetime.datetime(2011, 6, 5, 1, 14), datetime.datetime(2011, 6, 12, 12, 58), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 5, 28, 23, 42), datetime.datetime(2011, 6, 16, 15, 50), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 4, 18, 21, 26), datetime.datetime(2011, 5, 4, 9, 57), u'JavaScript Engine', [u'(firefox5 unaffected', u' firefox6+ fixed', u' firefox7+ fixed']], [datetime.datetime(2011, 4, 17, 23, 10), datetime.datetime(2011, 6, 9, 17, 48), u'SVG', [u'(firefox5- wontfix', u' firefox6+ fixed', u' firefox7 fixed']], [datetime.datetime(2011, 4, 15, 7, 14), datetime.datetime(2011, 4, 15, 7, 14), u'Security', [u'(firefox5- wontfix', u' firefox6+ fixed']], [datetime.datetime(2011, 4, 15, 7, 12), datetime.datetime(2011, 5, 11, 16, 31), u'Security', [u'(firefox5- wontfix', u' firefox6+ fixed']], [datetime.datetime(2011, 3, 31, 7, 10), datetime.datetime(2011, 7, 25, 11, 0), u'Canvas: WebGL', [u'(firefox5 affected', u' firefox6+ fixed', u' firefox7+ fixed', u' firefox8+ fixed']]]"
